8 2
1 1 0.0
1 2 -1.8701769218902609
2 1 -8.986325705588143
2 2 3.5619313838962494
1 3 0.01597899596283676
2 4 0.10539332229367382
3 3 3.6817024782936194
3 4 -3.588679971740792
4 3 -6.531661744964693
4 4 9.858619137696998
3 5 0.016274876981433373
4 6 0.15468733358437026
3 1 0.018822053267602865
3 2 0.2701590152683044
4 1 0.060343033018839365
4 2 0.28761479739174484
5 5 6.826904056473657
5 6 -7.8171361397254815
6 5 -4.03490762519991
6 6 6.503369708378309
5 7 0.07816513258835611
6 8 0.1680657655389049
5 3 0.01780003704142996
5 4 0.21001422292621355
6 3 0.09420791993014332
6 4 0.22497347200704113
7 7 2.4259895528018807
7 8 -4.133465674925508
8 7 -3.592162500210697
8 8 11.419892219589311
7 5 0.013904929214224926
7 6 0.25662094815985875
8 5 0.041674987165550466
8 6 0.15057848549847047
